,Fecha,Unidades_pred
0,2012-01-01,0
1,2012-01-02,523
2,2012-01-03,648
3,2012-01-04,801
4,2012-01-05,1019
5,2012-01-06,952
6,2012-01-07,262
7,2012-01-08,0
8,2012-01-09,0
9,2012-01-10,770
10,2012-01-11,895
11,2012-01-12,1025
12,2012-01-13,1000
13,2012-01-14,310
14,2012-01-15,0
15,2012-01-16,768
16,2012-01-17,893
17,2012-01-18,1018
18,2012-01-19,1143
19,2012-01-20,1067
20,2012-01-21,359
21,2012-01-22,0
22,2012-01-23,891
23,2012-01-24,1015
24,2012-01-25,1140
25,2012-01-26,1265
26,2012-01-27,1233
27,2012-01-28,450
28,2012-01-29,0
29,2012-01-30,1013
30,2012-01-31,1138
31,2012-02-01,809
32,2012-02-02,1027
33,2012-02-03,943
34,2012-02-04,253
35,2012-02-05,0
36,2012-02-06,616
37,2012-02-07,741
38,2012-02-08,866
39,2012-02-09,1033
40,2012-02-10,992
41,2012-02-11,302
42,2012-02-12,0
43,2012-02-13,739
44,2012-02-14,864
45,2012-02-15,989
46,2012-02-16,1113
47,2012-02-17,1041
48,2012-02-18,351
49,2012-02-19,0
50,2012-02-20,861
51,2012-02-21,986
52,2012-02-22,1111
53,2012-02-23,1236
54,2012-02-24,1187
55,2012-02-25,404
56,2012-02-26,0
57,2012-02-27,984
58,2012-02-28,1109
59,2012-02-29,1234
60,2012-03-01,1037
61,2012-03-02,948
62,2012-03-03,258
63,2012-03-04,0
64,2012-03-05,622
65,2012-03-06,747
66,2012-03-07,872
67,2012-03-08,1043
68,2012-03-09,997
69,2012-03-10,307
70,2012-03-11,0
71,2012-03-12,745
72,2012-03-13,870
73,2012-03-14,994
74,2012-03-15,1119
75,2012-03-16,1046
76,2012-03-17,356
77,2012-03-18,0
78,2012-03-19,0
79,2012-03-20,992
80,2012-03-21,1117
81,2012-03-22,1242
82,2012-03-23,1188
83,2012-03-24,405
84,2012-03-25,0
85,2012-03-26,990
86,2012-03-27,1115
87,2012-03-28,1239
88,2012-03-29,1364
89,2012-03-30,1353
90,2012-03-31,570
91,2012-04-01,0
92,2012-04-02,593
93,2012-04-03,718
94,2012-04-04,843
95,2012-04-05,0
96,2012-04-06,0
97,2012-04-07,298
98,2012-04-08,0
99,2012-04-09,716
100,2012-04-10,840
101,2012-04-11,965
102,2012-04-12,1090
103,2012-04-13,1037
104,2012-04-14,347
105,2012-04-15,0
106,2012-04-16,838
107,2012-04-17,963
108,2012-04-18,1088
109,2012-04-19,1213
110,2012-04-20,1142
111,2012-04-21,396
112,2012-04-22,0
113,2012-04-23,961
114,2012-04-24,1085
115,2012-04-25,1210
116,2012-04-26,1335
117,2012-04-27,1307
118,2012-04-28,524
119,2012-04-29,0
120,2012-04-30,1083
121,2012-05-01,0
122,2012-05-02,843
123,2012-05-03,1061
124,2012-05-04,987
125,2012-05-05,297
126,2012-05-06,0
127,2012-05-07,704
128,2012-05-08,829
129,2012-05-09,954
130,2012-05-10,1078
131,2012-05-11,1036
132,2012-05-12,346
133,2012-05-13,0
134,2012-05-14,827
135,2012-05-15,951
136,2012-05-16,1076
