,Fecha,Mes,Día,Tipo de día,Día del mes,Día de la semana,Día laboral,Unidades
0,2018-01-01,1,Monday,Semana,1,1,1,506
1,2018-01-02,1,Tuesday,Semana,2,2,1,630
2,2018-01-03,1,Wednesday,Semana,3,3,1,800
3,2018-01-04,1,Thursday,Semana,4,4,1,1018
4,2018-01-05,1,Friday,Semana,5,5,1,945
5,2018-01-06,1,Saturday,Semana,6,6,1,255
6,2018-01-07,1,Sunday,Domingos y festivos,7,0,0,0
7,2018-01-08,1,Monday,Semana,8,1,1,628
8,2018-01-09,1,Tuesday,Semana,9,2,1,753
9,2018-01-10,1,Wednesday,Semana,10,3,1,878
10,2018-01-11,1,Thursday,Semana,11,4,1,1024
11,2018-01-12,1,Friday,Semana,12,5,1,993
12,2018-01-13,1,Saturday,Semana,13,6,1,303
13,2018-01-14,1,Sunday,Domingos y festivos,14,0,0,0
14,2018-01-15,1,Monday,Semana,15,1,1,751
15,2018-01-16,1,Tuesday,Semana,16,2,1,875
16,2018-01-17,1,Wednesday,Semana,17,3,1,1000
17,2018-01-18,1,Thursday,Semana,18,4,1,1125
18,2018-01-19,1,Friday,Semana,19,5,1,1044
19,2018-01-20,1,Saturday,Semana,20,6,1,352
20,2018-01-21,1,Sunday,Domingos y festivos,21,0,0,0
21,2018-01-22,1,Monday,Semana,22,1,1,873
22,2018-01-23,1,Tuesday,Semana,23,2,1,998
23,2018-01-24,1,Wednesday,Semana,24,3,1,1123
24,2018-01-25,1,Thursday,Semana,25,4,1,1248
25,2018-01-26,1,Friday,Semana,26,5,1,1209
26,2018-01-27,1,Saturday,Semana,27,6,1,426
27,2018-01-28,1,Sunday,Domingos y festivos,28,0,0,0
28,2018-01-29,1,Monday,Semana,29,1,1,996
29,2018-01-30,1,Tuesday,Semana,30,2,1,1120
30,2018-01-31,1,Wednesday,Semana,31,3,1,1245
31,2018-02-01,2,Thursday,Semana,1,4,1,1026
32,2018-02-02,2,Friday,Semana,2,5,1,936
33,2018-02-03,2,Saturday,Semana,3,6,1,246
34,2018-02-04,2,Sunday,Domingos y festivos,4,0,0,0
35,2018-02-05,2,Monday,Semana,5,1,1,599
36,2018-02-06,2,Tuesday,Semana,6,2,1,724
37,2018-02-07,2,Wednesday,Semana,7,3,1,849
38,2018-02-08,2,Thursday,Semana,8,4,1,1032
39,2018-02-09,2,Friday,Semana,9,5,1,985
40,2018-02-10,2,Saturday,Semana,10,6,1,295
41,2018-02-11,2,Sunday,Domingos y festivos,11,0,0,0
42,2018-02-12,2,Monday,Semana,12,1,1,721
43,2018-02-13,2,Tuesday,Semana,13,2,1,846
44,2018-02-14,2,Wednesday,Semana,14,3,1,971
45,2018-02-15,2,Thursday,Semana,15,4,1,1096
46,2018-02-16,2,Friday,Semana,16,5,1,1034
47,2018-02-17,2,Saturday,Semana,17,6,1,344
48,2018-02-18,2,Sunday,Domingos y festivos,18,0,0,0
49,2018-02-19,2,Monday,Semana,19,1,1,844
50,2018-02-20,2,Tuesday,Semana,20,2,1,969
51,2018-02-21,2,Wednesday,Semana,21,3,1,1094
52,2018-02-22,2,Thursday,Semana,22,4,1,1218
53,2018-02-23,2,Friday,Semana,23,5,1,1163
54,2018-02-24,2,Saturday,Semana,24,6,1,392
55,2018-02-25,2,Sunday,Domingos y festivos,25,0,0,0
56,2018-02-26,2,Monday,Semana,26,1,1,966
57,2018-02-27,2,Tuesday,Semana,27,2,1,1091
58,2018-02-28,2,Wednesday,Semana,28,3,1,1216
59,2018-03-01,3,Thursday,Semana,1,4,1,1037
60,2018-03-02,3,Friday,Semana,2,5,1,948
61,2018-03-03,3,Saturday,Semana,3,6,1,258
62,2018-03-04,3,Sunday,Domingos y festivos,4,0,0,0
63,2018-03-05,3,Monday,Semana,5,1,1,622
64,2018-03-06,3,Tuesday,Semana,6,2,1,747
65,2018-03-07,3,Wednesday,Semana,7,3,1,872
66,2018-03-08,3,Thursday,Semana,8,4,1,1043
67,2018-03-09,3,Friday,Semana,9,5,1,997
68,2018-03-10,3,Saturday,Semana,10,6,1,307
