Fecha,Unidades
1/1/2012,0
2/1/2012,188
3/1/2012,482
4/1/2012,927
5/1/2012,1159
6/1/2012,996
7/1/2012,243
8/1/2012,0
9/1/2012,0
10/1/2012,697
11/1/2012,956
12/1/2012,1001
13/1/2012,1170
14/1/2012,372
15/1/2012,1
16/1/2012,805
17/1/2012,913
18/1/2012,1049
19/1/2012,979
20/1/2012,1018
21/1/2012,312
22/1/2012,0
23/1/2012,802
24/1/2012,893
25/1/2012,1030
26/1/2012,1108
27/1/2012,1049
28/1/2012,369
29/1/2012,2
30/1/2012,823
31/1/2012,1046
1/2/2012,1142
2/2/2012,1185
3/2/2012,1295
4/2/2012,344
5/2/2012,0
6/2/2012,853
7/2/2012,1170
8/2/2012,1177
9/2/2012,1182
10/2/2012,1191
11/2/2012,411
12/2/2012,1
13/2/2012,881
14/2/2012,1120
15/2/2012,1126
16/2/2012,1098
17/2/2012,1243
18/2/2012,309
19/2/2012,0
20/2/2012,733
21/2/2012,994
22/2/2012,1186
23/2/2012,1247
24/2/2012,1315
25/2/2012,386
26/2/2012,0
27/2/2012,855
28/2/2012,1239
29/2/2012,1157
1/3/2012,1201
2/3/2012,1342
3/3/2012,358
4/3/2012,0
5/3/2012,886
6/3/2012,1209
7/3/2012,1553
8/3/2012,1340
9/3/2012,1279
10/3/2012,489
11/3/2012,1
12/3/2012,971
13/3/2012,1305
14/3/2012,1366
15/3/2012,1357
16/3/2012,1461
17/3/2012,339
18/3/2012,0
19/3/2012,0
20/3/2012,937
21/3/2012,1247
22/3/2012,1332
23/3/2012,1479
24/3/2012,139
25/3/2012,32
26/3/2012,1113
27/3/2012,1163
28/3/2012,1469
29/3/2012,1559
30/3/2012,1805
31/3/2012,485
1/4/2012,1
2/4/2012,1128
3/4/2012,1589
4/4/2012,1182
5/4/2012,1
6/4/2012,0
7/4/2012,1
8/4/2012,0
9/4/2012,770
10/4/2012,1196
11/4/2012,1467
12/4/2012,1456
13/4/2012,1369
14/4/2012,422
15/4/2012,0
16/4/2012,795
17/4/2012,1067
18/4/2012,1360
